unobserved species (function specpool)
 Species     chao  chao.se    jack1 jack1.se    jack2     boot  boot.se
All      15 19.02299 4.729202 19.82759 3.233299 21.78941 17.30036 1.871637


rank abundance (function rankabundance)
                         rank abundance proportion plower pupper accumfreq
Craugastor_crassidigitus     1        20       26.7   16.2   37.2      26.7
Pristimantis_ridens          2        15       20.0   10.4   29.6      46.7
Espadarana_prosoblepon       3        11       14.7    1.1   28.2      61.3
Smilisca_phaeota             4         5        6.7    1.5   11.8      68.0
Craugastor_stejnegerianus    5         4        5.3   -1.2   11.9      73.3
Pristimantis_taeniatus       6         4        5.3   -0.5   11.1      78.7
Leptodactylus_savagei        7         3        4.0   -1.5    9.5      82.7
Lithobates_warszewitschii    8         3        4.0    0.2    7.8      86.7
Engystomops_pustulosus       9         2        2.7   -1.7    7.0      89.3
Rhaebo_haematiticus         10         2        2.7   -1.7    7.0      92.0
Rhinella_horribilis         11         2        2.7   -1.7    7.0      94.7
Craugastor_gabbi            12         1        1.3   -0.8    3.5      96.0
Diasporus_vocator           13         1        1.3   -0.8    3.5      97.3
Scinax_boulengeri           14         1        1.3   -1.6    4.3      98.7
Smilisca_sordida            15         1        1.3   -1.7    4.3     100.0








